stem,model,de_inside_matte,de_outside_matte
CM_1005,mcs1,1.4885809421539307,5.6786580085754395
CM_1005,mcs2,1.7160699367523193,5.509341239929199
CM_1005,mcs3,1.4945876598358154,5.813492774963379
CM_1005,mcs4,1.6057372093200684,5.649922847747803
CM_1005,mcs5,1.4847650527954102,5.657398223876953
CM_1005,mcs6,1.4934214353561401,5.669895648956299
CM_1033,mcs1,0.9280235767364502,1.676833152770996
CM_1033,mcs2,1.0914727449417114,1.693294644355774
CM_1033,mcs3,0.9312760829925537,1.7458497285842896
CM_1033,mcs4,0.9943385124206543,1.6818153858184814
CM_1033,mcs5,0.9626312255859375,1.6875996589660645
CM_1033,mcs6,1.0022149085998535,1.635259747505188
CM_1067,mcs1,0.9926716089248657,2.4937520027160645
CM_1067,mcs2,1.1933674812316895,2.3272345066070557
CM_1067,mcs3,1.020566701889038,2.5626273155212402
CM_1067,mcs4,1.161759614944458,2.4288127422332764
CM_1067,mcs5,1.0317593812942505,2.500948905944824
CM_1067,mcs6,1.0462384223937988,2.440746784210205
CM_1068,mcs1,1.0947777032852173,2.5468552112579346
CM_1068,mcs2,1.195643663406372,2.3198859691619873
CM_1068,mcs3,1.0880268812179565,2.669372320175171
CM_1068,mcs4,1.2259093523025513,2.393167734146118
CM_1068,mcs5,1.117783784866333,2.3993256092071533
CM_1068,mcs6,1.1086461544036865,2.418437957763672
CM_1077,mcs1,1.1260091066360474,3.7472407817840576
CM_1077,mcs2,1.2053337097167969,3.650404214859009
CM_1077,mcs3,1.1155469417572021,4.108310222625732
CM_1077,mcs4,1.1741935014724731,3.798044204711914
CM_1077,mcs5,1.0627955198287964,3.9565460681915283
CM_1077,mcs6,1.085621953010559,4.014175891876221
CM_1082,mcs1,0.9835559129714966,2.114584445953369
CM_1082,mcs2,1.1227937936782837,2.097966194152832
CM_1082,mcs3,1.0130345821380615,2.163348436355591
CM_1082,mcs4,1.1500072479248047,2.124131202697754
CM_1082,mcs5,0.9637330770492554,2.193362236022949
CM_1082,mcs6,0.9761624932289124,2.178536891937256
CM_1101,mcs1,1.2650712728500366,2.2443528175354004
CM_1101,mcs2,1.3572566509246826,2.2781713008880615
CM_1101,mcs3,1.223230242729187,2.3908016681671143
CM_1101,mcs4,1.3905171155929565,2.330798387527466
CM_1101,mcs5,1.3105376958847046,2.269663095474243
CM_1101,mcs6,1.275589942932129,2.2542166709899902
CM_1106,mcs1,1.018139362335205,2.226412773132324
CM_1106,mcs2,1.1540350914001465,2.218480348587036
CM_1106,mcs3,1.0203999280929565,2.339181423187256
CM_1106,mcs4,1.0981155633926392,2.273178815841675
CM_1106,mcs5,0.9759833216667175,2.245774984359741
CM_1106,mcs6,0.9511429071426392,2.365306854248047
